"Benchmark","Algorithm","Run","Hypervolume","GD","Time","ParetoSize"
"ZDT3","MO_AGD_PSO",12,1.32427996774064,0.00217059475913051,20.1609120368958,100
"ZDT3","MO_AGD_PSO",13,1.32769188554688,0.00158736672387862,20.1278431415558,100
"ZDT3","MO_AGD_PSO",14,1.32770830852875,0.0010899135355954,19.9841370582581,100
"ZDT3","MO_AGD_PSO",15,1.3266898882439,0.00129414876403552,20.216383934021,100
"ZDT3","MO_AGD_PSO",16,1.32704952222327,0.00164799231951142,22.8191812038422,100
"ZDT3","MO_AGD_PSO",17,1.32747363139091,0.00152797765020555,22.9860570430756,100
"ZDT3","MO_AGD_PSO",18,1.32806986575649,0.00100365892263731,22.2153780460358,100
"ZDT3","MO_AGD_PSO",19,1.32763141849714,0.00177778753891938,21.1279439926147,100
"ZDT3","MO_AGD_PSO",20,1.3273785579606,0.0015414502147598,24.2437131404877,100
"ZDT3","MO_AGD_PSO",21,1.32510758815292,0.00170413337111546,23.7520260810852,100
"ZDT3","MO_AGD_PSO",22,1.32793636156808,0.00115062261731116,20.6994709968567,100
"ZDT3","MO_AGD_PSO",23,1.32717906356734,0.00132187459985703,23.5181698799133,100
"ZDT3","MO_AGD_PSO",24,1.32640016954422,0.00141841213757857,21.2712419033051,100
"ZDT3","MO_AGD_PSO",25,1.32688885171917,0.00181405143657833,20.350949048996,100
"ZDT3","MO_AGD_PSO",26,1.32322379823428,0.00197526219658494,19.9263110160828,100
"ZDT3","MO_AGD_PSO",27,1.32558297279455,0.00160634346178878,20.4878890514374,100
"ZDT3","MO_AGD_PSO",28,1.32801063174474,0.00149908706758481,21.4574460983276,100
"ZDT3","MO_AGD_PSO",29,1.32807794698441,0.00130931743935567,21.2478539943695,100
"ZDT3","MO_AGD_PSO",30,1.32812853312269,0.000929800991865038,20.8270449638367,100
"ZDT3","MO_AGD_PSO",31,1.32482383992242,0.00201650442663103,20.2919940948486,100
